name,website,image_url
IIT Tirupati,https://www.iittp.ac.in,https://upload.wikimedia.org/wikipedia/commons/6/63/IIT_Tirupati.jpg
IIIT Sri City,https://www.iiits.ac.in,https://upload.wikimedia.org/wikipedia/commons/2/29/IIIT_Sri_City.jpg
IISER Tirupati,https://www.iisertirupati.ac.in,https://upload.wikimedia.org/wikipedia/commons/8/89/IISER_Tirupati.jpg
Andhra University,https://www.andhrauniversity.edu.in,https://upload.wikimedia.org/wikipedia/commons/4/4a/Andhra_University.jpg
Sri Venkateswara University,https://svuniversity.edu.in,https://upload.wikimedia.org/wikipedia/commons/7/77/SVU_Tirupati.jpg
Acharya Nagarjuna University,https://nagarjunauniversity.ac.in,https://upload.wikimedia.org/wikipedia/commons/5/5b/Acharya_Nagarjuna_University.jpg
JNTU Anantapur,https://jntua.ac.in,https://upload.wikimedia.org/wikipedia/commons/6/6a/JNTU_Anantapur.jpg
JNTU Kakinada,https://jntuk.edu.in,https://upload.wikimedia.org/wikipedia/commons/3/34/JNTU_Kakinada.jpg
JNTU Vizianagaram,https://jntugv.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Sri Krishnadevaraya University,https://sku.ac.in,https://upload.wikimedia.org/wikipedia/commons/9/9c/SKU_Anantapur.jpg
Rayalaseema University,https://www.rayalaseemauniversity.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Yogi Vemana University,https://yvuniversity.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Krishna University,https://krishnauniversity.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Dr B R Ambedkar University Srikakulam,https://www.brau.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Adikavi Nannaya University,https://aknu.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Vikrama Simhapuri University,https://vsu.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
RGUKT Nuzvid,https://rguktn.ac.in,https://upload.wikimedia.org/wikipedia/commons/5/5d/RGUKT_Nuzvid.jpg
RGUKT Ongole,https://rguktong.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
RGUKT Srikakulam,https://rguktsklm.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
RGUKT Kadapa,https://rgukt.ac.in,https://upload.wikimedia.org/wikipedia/commons/4/4f/RGUKT_Kadapa.jpg
GITAM Visakhapatnam,https://www.gitam.edu,https://upload.wikimedia.org/wikipedia/commons/6/6f/GITAM_University.jpg
KL University,https://www.kluniversity.in,https://upload.wikimedia.org/wikipedia/commons/7/79/KL_University.jpg
Vignan University,https://vignan.ac.in,https://upload.wikimedia.org/wikipedia/commons/2/22/Vignan_University.jpg
Centurion University Vizianagaram,https://cutmap.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
SRM University AP,https://srmap.edu.in,https://upload.wikimedia.org/wikipedia/commons/0/0c/SRM_University.jpg
Amrita Vishwa Vidyapeetham Amaravati,https://www.amrita.edu,https://upload.wikimedia.org/wikipedia/commons/4/47/Amrita_Vishwa_Vidyapeetham.jpg
Siddhartha Engineering College,https://www.vrsiddhartha.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Gayatri Vidya Parishad College of Engineering,https://www.gvpce.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Pragati Engineering College,https://www.pragati.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Vishnu Institute of Technology,https://www.vishnu.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Aditya Engineering College,https://aec.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Aditya College of Engineering,https://acet.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Aditya Institute of Technology and Management,https://adityatekkali.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
RVR and JC College of Engineering,https://www.rvrjcce.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Vasavi College of Engineering,https://www.vce.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Sagi Rama Krishnam Raju Engineering College,https://srkrec.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
PVPSIT,https://www.pvpsiddhartha.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
GMR Institute of Technology,https://www.gmrit.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
GVP College for Degree and PG Courses,https://www.gvpcdpgc.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Anil Neerukonda Institute of Technology,https://www.anits.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
QIS College of Engineering and Technology,https://www.qis.edu,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Lendi Institute of Engineering and Technology,https://www.lendi.org,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
AVN Institute of Engineering and Technology,https://www.avniet.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Kakinada Institute of Engineering and Technology,https://www.kiet.edu,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Lakireddy Bali Reddy College of Engineering,https://www.lbrce.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
MJ College of Engineering and Technology,https://mjcollege.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Sree Vidyanikethan Engineering College,https://www.svec.education,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Sri Venkateswara College of Engineering and Technology,https://www.svcet.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Sri Vasavi Engineering College,https://www.srivasavi.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
mvr degree college,https://mvrdc.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg